EAD,PD12,LGD,PDLT,stage1ecl,stage2ecl,stage3ecl
9320.343041149643,0.013192976400147318,0.8,0.015831571680176782,98.37045262653163,118.04454315183794,7456.274432919715
10651.820618456733,0.023369698395193123,0.8,0.028043638074231745,199.14386817042669,238.972641804512,8521.456494765387
19972.163659606376,0.0018341022292857553,0.8,0.002200922675142906,29.304791913395203,35.16575029607424,15977.730927685101
2662.9551546141834,0.002938720909446731,0.8,0.003526465091336077,6.260545595026923,7.5126547140323074,2130.364123691347
4061.00661078663,0.01213276235910885,0.8,0.01455931483093062,39.41698251795539,47.30037902154646,3248.8052886293044
10386.289167912357,0.007314368429786906,0.8,0.008777242115744287,60.77531647393269,72.93037976871922,8309.031334329886
9943.97781646921,0.012141072609568468,0.8,0.01456928713148216,96.58444535815265,115.90133442978316,7955.182253175369
6629.318544312809,0.04021382841334637,0.8,0.04825659409601565,213.27222275072836,255.92666730087404,5303.454835450248
6629.318544312809,0.6467984753826964,0.8,0.7761581704592356,3430.266501830209,4116.319802196251,5303.454835450248
7735.95445008179,0.18906616613908367,0.8,0.22687939936690038,1170.085799442838,1404.1029593314054,6188.763560065432
8412.384474964874,0.25355548924160926,0.8,0.3042665870899311,1706.4050089905895,2047.6860107887076,6729.907579971899
1941.319494222663,0.023172972068306097,0.8,0.027807566481967316,35.98891393222391,43.18669671866869,1553.0555953781304
32355.324903711047,0.15388155253997693,0.8,0.1846578630479723,3983.110103294748,4779.732123953698,25884.25992296884
18764.024581684833,0.13473392632188788,0.8,0.16168071158626546,2022.520564392654,2427.024677271185,15011.219665347868
8005.983821518859,0.018402385881494402,0.8,0.022082863057793282,117.86336291567301,141.43603549880763,6404.787057215088
4065.538659365044,0.0797685302069614,0.8,0.09572223624835367,259.44163468570395,311.3299616228447,3252.4309274920356
1907.6758324712903,0.08444385122329884,0.8,0.1013326214679586,128.8731953435907,154.64783441230887,1526.1406659770323
5117.797306942779,0.3274172476244316,0.8,0.3929006971493179,1340.5240865111464,1608.6289038133757,4094.2378455542234
2843.220726079322,0.017453716345340466,0.8,0.020944459614408557,39.69981444814516,47.63977733777419,2274.576580863458
4549.153161726916,0.027204424041386264,0.8,0.03264530884966352,99.00567331266564,118.80680797519877,3639.3225293815326
11372.882904317288,0.0055494759004644355,0.8,0.006659371080557323,50.49083167705022,60.588998012460266,9098.306323453831
6368.814426417682,0.10280489163589046,0.8,0.12336586996306854,523.7962215655725,628.555465878687,5095.051541134146
6539.40766998244,0.00417950014006081,0.8,0.005015400168072972,21.865164218085077,26.238197061702092,5231.526135985952
11100.187832802227,0.09446057607997105,0.8,0.11335269129596526,838.824109825907,1006.5889317910884,8880.150266241782
8633.479425512838,0.44302875997941127,0.8,0.5316345119752935,3059.9037473541703,3671.8844968250046,6906.783540410271
9866.833629157532,0.010926439032264377,0.8,0.01311172683871725,86.24748487238851,103.4969818468662,7893.466903326026
6166.771018223456,0.014320349676667746,0.8,0.017184419612001293,70.64825388552025,84.77790466262428,4933.416814578765
6166.771018223456,0.018019605719161457,0.8,0.021623526862993746,88.89822584699081,106.67787101638896,4933.416814578765
12333.542036446912,0.00806065572580447,0.8,0.009672786870965363,79.53314898842875,95.43977878611449,9866.83362915753
7400.1252218681475,0.061593711954542586,0.8,0.0739124543454511,364.6409450746338,437.5691340895605,5920.100177494518
24667.084072893824,0.03478960983490187,0.8,0.04174753180188224,686.5265845285586,823.8319014342702,19733.66725831506
13813.567080820543,0.06679336730094476,0.8,0.0801520407611337,738.1237278123887,885.7484733748663,11050.853664656435
7529.771958772481,0.013432613908115289,0.8,0.016119136689738345,80.915615630675,97.09873875680998,6023.817567017985
4392.366975950616,0.10634243181641341,0.8,0.12761091817969608,373.6759885221554,448.41118622658655,3513.8935807604926
6274.809965643736,0.02154552079533109,0.8,0.025854624954397307,108.15523888122232,129.78628665746677,5019.847972514989
8408.245353962608,0.06292466369724166,0.8,0.07550959643668999,423.2688089455934,507.92257073471205,6726.596283170086
4257.651691125253,0.04878106644458621,0.8,0.05853727973350345,166.15423203414866,199.3850784409784,3406.1213529002025
18247.078676251087,0.012917171395012396,0.8,0.015500605674014874,188.56051417552897,226.27261701063472,14597.66294100087
8515.303382250506,0.011905751752058647,0.8,0.014286902102470377,81.10487053003192,97.3258446360383,6812.242705800405
7298.831470500431,0.01838873033111492,0.8,0.022066476397337904,107.37299491462991,128.84759389755592,5839.065176400345
